"term","estimate","std.error","statistic","p.value"
"(Intercept)",4.44961796656609,0.00439153865080318,1013.22527714797,0
"educ",0.107424315860931,8.00842747939109e-05,1341.39088026179,0
"exp",0.0440244545453021,0.00011246925400018,391.435463288765,0
"I(exp^2)",-0.000580417465879449,2.58579672835006e-06,-224.463686381799,0
"raceChinese",0.193099827814833,0.00768299545804439,25.1334038747413,2.1633637627424e-139
"raceFilipino",0.177506533893194,0.00894031469827323,19.854618084918,1.00834068883484e-87
"raceJapanese",0.37406674333123,0.0103033789627355,36.305249441385,1.38369056988105e-288
"raceOther",-0.112715362952424,0.00487392152271336,-23.1262162156592,2.53741997800322e-118
"raceWhite",0.516534276245196,0.000826742884753835,624.782245811521,0
"ruralTRUE",-0.5165374787619,0.000753436208500135,-685.575597422071,0
"own_rentOwned",0.500409959133625,0.00419935736044039,119.163461497153,0
"own_rentRented",0.384585645118745,0.00418171608305761,91.9683779290779,0
"matched",-0.162552556053873,0.0116848616548381,-13.9113804558027,5.40668858114112e-44
"educ:matched",0.00724721796657657,0.000218680178824656,33.140717213276,7.8917522553463e-241
"exp:matched",0.0120486647562922,0.000307034618584847,39.2420399101107,0
"I(exp^2):matched",-0.000255258820519918,7.60709315650247e-06,-33.5553693465323,7.7082728583023e-247
"raceChinese:matched",-0.0216438530678446,0.0284991888517982,-0.759455056085884,0.447580403847392
"raceFilipino:matched",0.00495579687813819,0.0328309501934491,0.150948932301296,0.88001600269632
"raceJapanese:matched",-0.00797220245927736,0.0330949016058022,-0.240889142207925,0.80964104154695
"raceOther:matched",0.0517579591701046,0.0156019035166765,3.31741310377812,0.000908554280187015
"raceWhite:matched",-0.00531768107932942,0.00307537196382964,-1.72911801950211,0.0837879991070541
"ruralTRUE:matched",0.0319713419536455,0.00194648601965529,16.4251587891227,1.26535550235871e-60
"own_rentOwned:matched",0.00635617516829701,0.0109695669226274,0.579437202318886,0.562294218209457
"own_rentRented:matched",0.0184288167486371,0.0109205386686355,1.68753733747272,0.0915001013740136
