"state","freq","unmatched_freq"
"Nevada",0.00107775557401711,0.000922599475187689
"Delaware",0.00191798692430561,0.00207678665077756
"Wyoming",0.00283009688926584,0.0019690974104489
"Vermont",0.00286963718810295,0.00272021764812038
"New Hampshire",0.00343096821623686,0.00371157980900723
"New Mexico",0.00365225267437166,0.00416704318061114
"Arizona",0.00416387589825321,0.00391228449654783
"District of Columbia",0.00425100577104783,0.00492451450115359
"Utah",0.00528371364746124,0.0040804660564195
"Montana",0.00536844285925504,0.0044739714739717
"Rhode Island",0.00537211445843277,0.00521980495859399
"Idaho",0.00559805902321623,0.00403843375247398
"South Dakota",0.00606830614867181,0.00487696861977063
"North Dakota",0.0061230977056318,0.00494081096104778
"Maine",0.00732724102057465,0.00626944353923096
"South Carolina",0.00847475697896866,0.0148356410417514
"Mississippi",0.0103985337327468,0.0172696586559912
"Florida",0.0109482851019356,0.0147958595336585
"Nebraska",0.0114294058095714,0.00988293052433546
"Colorado",0.0114723352768802,0.00833591840435813
"Oregon",0.0114798196905887,0.00824124539430899
"Arkansas",0.0116269660884039,0.0152738308637886
"Connecticut",0.0131756748646416,0.0127628848858727
"Maryland",0.0142281528904735,0.0139125530217275
"West Virginia",0.0145292240230475,0.0147252648048235
"Kansas",0.0145751190127691,0.0135704495001584
"Alabama",0.0152636850739467,0.0219976559967718
"Louisiana",0.0160412168075078,0.0180426936191735
"Georgia",0.0160969968719387,0.024226833740393
"Oklahoma",0.0166881243395534,0.0179284090235557
"Tennessee",0.0172736031930486,0.0225913950050583
"Virginia",0.0174615608278778,0.0209723225217372
"Washington",0.0180447802357251,0.0133560830052333
"Kentucky",0.0190818657880812,0.0221460689388061
"North Carolina",0.02077941554637,0.0276642352080968
"Iowa",0.0232972852901757,0.0188579877106895
"Minnesota",0.0261035167847863,0.0210426380820944
"New Jersey",0.0283008276773054,0.0314181962816469
"Indiana",0.028648076230307,0.0256826799043241
"Missouri",0.0300768931718564,0.02801097990561
"Massachusetts",0.0301203875005772,0.0316792013604019
"Wisconsin",0.0328954104021771,0.0232098055275742
"Texas",0.0428293456235879,0.0496761811413283
"Michigan",0.0478318995032468,0.0398403602976292
"Ohio",0.0558330201882881,0.0517946511354541
"Illinois",0.0659304827884609,0.0591698461193688
"California",0.0664032717902703,0.0525520526638771
"Pennsylvania",0.0707572235536476,0.0748046069289511
"New York",0.0965682833423923,0.101424856718087
